x,y,source
3.442584,-2.2910624,natural
1.9606997,-2.8347325,natural
2.949175,-3.741847,natural
12.942123,1.451251,natural
12.924914,0.422055,natural
1.933319,-2.958023,natural
13.593547,1.6971192,natural
5.654455,-1.6097958,natural
14.377166,3.6447256,natural
2.8034616,-0.6301807,natural
4.9351087,-1.9617308,natural
10.500491,1.7707051,natural
10.895123,-0.014779161,natural
7.026526,-1.3642865,natural
15.625655,2.581467,natural
10.434784,-0.27327093,natural
13.11897,-0.47837055,natural
4.849204,-2.4925306,natural
7.8432174,-1.7579933,natural
14.859958,2.230072,natural
15.545843,5.1096478,natural
6.3670526,-3.364039,natural
13.90205,3.8735101,natural
3.1125653,-0.23643719,natural
14.485526,3.713263,natural
10.00633,2.269626,natural
11.962408,4.1341453,natural
12.348633,-1.3498024,natural
5.298738,-2.74875,natural
13.766023,0.8534488,natural
14.615906,1.6579678,natural
2.9281251,-0.5864744,natural
9.849262,-0.42123175,natural
5.544005,-1.8778439,natural
4.546814,-1.4227803,natural
-2.106767,3.659577,natural
7.090381,-1.8264436,natural
15.407173,3.4131026,natural
12.35963,2.817591,natural
3.31226,0.04815427,natural
9.611345,-0.5553357,natural
13.214236,3.927477,natural
12.8277235,3.0400305,natural
2.856563,-1.59413,natural
14.957399,2.2688818,natural
13.698989,1.8008889,natural
7.890064,-1.7973737,natural
14.578236,2.215636,natural
14.423363,4.262661,natural
2.2895641,-0.7865979,natural
16.254759,3.9148293,natural
14.481068,3.7104816,natural
13.634766,1.3160022,natural
-1.355853,3.8346055,natural
15.952489,1.9751697,natural
6.7515016,-3.0324886,natural
12.149073,2.1089861,natural
12.455432,-0.0690873,natural
15.858284,1.9713385,natural
15.020102,-0.23137556,natural
15.361667,3.9868279,natural
7.1131954,-0.4965136,natural
3.0001564,-2.5112066,natural
15.873898,2.7290714,natural
11.039611,3.2385838,natural
9.624063,3.5857923,natural
13.624435,2.8909135,natural
14.45664,2.9714801,natural
14.730235,2.8843646,natural
16.291626,3.1861942,natural
12.959509,-0.52672946,natural
-3.5957642,2.877394,natural
4.5366163,-2.8773837,natural
15.62043,3.8571765,natural
5.3695626,-3.042166,natural
8.377463,5.782953,natural
15.961372,4.079465,natural
2.8139536,-4.704119,natural
3.5942764,-1.4707451,natural
7.0322537,6.6239853,natural
13.953052,3.854626,natural
4.2891464,-2.7099173,natural
13.756043,1.9709495,natural
13.214062,-0.40146327,natural
2.3502536,0.14443223,natural
2.112022,-2.8322134,natural
6.1599107,-2.1881557,natural
15.745046,3.38574,natural
5.382533,-1.9591426,natural
14.933102,-2.9183092,natural
0.7153613,-3.1798904,natural
14.952075,-2.9184005,natural
7.757682,-1.6027757,natural
-3.8208911,4.282044,natural
3.4625385,-2.6355147,natural
4.8580136,-4.169967,natural
15.150737,-1.8450358,natural
15.304334,3.5700104,natural
14.15345,3.0459285,natural
6.7461658,-2.6342242,natural
14.945009,-2.9189496,natural
3.342606,-4.9210324,natural
13.8771105,1.1970189,natural
3.8825955,-4.2659717,natural
4.1746926,-1.5190283,natural
4.940792,-3.0842342,natural
12.306592,3.8619297,natural
2.0454965,-2.8776386,natural
3.1154273,-2.8910131,natural
14.275917,4.3734503,natural
-2.4645715,5.580459,natural
15.269235,-1.9053243,natural
3.1210654,-3.6992328,natural
12.06352,5.0745063,natural
-2.2381723,4.236808,natural
7.9390926,-1.6917261,natural
4.0588045,-0.5844419,natural
16.910934,2.9362056,natural
4.724449,-3.2569373,natural
2.8073928,-0.43291065,natural
12.760303,3.2764287,natural
15.653975,4.0178924,natural
10.662195,3.9940403,natural
13.582234,2.782648,natural
15.616877,4.195036,natural
13.793548,1.6529704,natural
16.215368,4.237386,natural
4.116017,-0.72172904,natural
12.214674,2.1882794,natural
13.683534,1.8650528,natural
2.2746139,-3.4619684,natural
16.46826,3.3289838,natural
16.195786,2.257282,natural
15.767761,2.2230606,natural
3.1322594,-3.5587802,natural
14.732491,2.6652217,natural
7.2936625,-1.6831751,natural
-1.9824415,3.649626,natural
16.753,3.5661151,natural
9.701229,3.5944397,natural
15.348995,3.663837,natural
15.130267,1.0573244,natural
12.491867,1.5219921,natural
6.2920666,-3.2461357,natural
16.875814,2.6578739,natural
14.447916,3.6924088,natural
13.7897625,1.2162138,natural
15.897871,3.3325438,natural
5.537285,-2.434144,natural
13.532743,4.3490143,natural
15.62256,2.6971607,natural
-2.3741264,4.1177874,natural
3.5277104,-3.0263755,natural
