vector_id,step,method,log_score
0,0,gradient_ascent,-7298.982421875
0,1,gradient_ascent,-4753.904296875
0,2,gradient_ascent,-2771.760009765625
0,3,gradient_ascent,-1349.1441650390625
0,4,gradient_ascent,-461.37384033203125
0,5,gradient_ascent,-52.848304748535156
0,6,gradient_ascent,-29.62908172607422
0,7,gradient_ascent,-261.8973388671875
0,8,gradient_ascent,-603.1615600585938
0,9,gradient_ascent,-922.2264404296875
0,10,gradient_ascent,-1131.059326171875
0,11,gradient_ascent,-1193.995849609375
0,12,gradient_ascent,-1119.0140380859375
0,13,gradient_ascent,-941.3543090820312
0,14,gradient_ascent,-707.9326782226562
0,15,gradient_ascent,-465.7471008300781
0,16,gradient_ascent,-254.1877899169922
0,17,gradient_ascent,-100.39054870605469
0,18,gradient_ascent,-16.99297332763672
0,19,gradient_ascent,-2.1175854206085205
0,20,gradient_ascent,-41.588191986083984
0,21,gradient_ascent,-113.16607666015625
0,22,gradient_ascent,-192.05711364746094
0,23,gradient_ascent,-256.41986083984375
0,24,gradient_ascent,-291.5245056152344
0,25,gradient_ascent,-291.68841552734375
0,26,gradient_ascent,-259.8847351074219
0,27,gradient_ascent,-205.57489013671875
0,28,gradient_ascent,-141.5993194580078
0,29,gradient_ascent,-80.94109344482422
0,30,gradient_ascent,-33.99924087524414
0,31,gradient_ascent,-6.781352996826172
0,32,gradient_ascent,-0.24082370102405548
0,33,gradient_ascent,-10.759993553161621
0,34,gradient_ascent,-31.5805721282959
0,35,gradient_ascent,-54.77481460571289
0,36,gradient_ascent,-73.24312591552734
0,37,gradient_ascent,-82.25105285644531
0,38,gradient_ascent,-80.1838607788086
0,39,gradient_ascent,-68.43865966796875
0,40,gradient_ascent,-50.61168670654297
0,41,gradient_ascent,-31.27834701538086
0,42,gradient_ascent,-14.724837303161621
0,43,gradient_ascent,-3.9316604137420654
0,44,gradient_ascent,-0.026054834946990013
0,45,gradient_ascent,-2.269083261489868
0,46,gradient_ascent,-8.517836570739746
0,47,gradient_ascent,-15.984256744384766
0,48,gradient_ascent,-22.05670738220215
0,49,gradient_ascent,-24.958284378051758
0,0,ess,-2937.657958984375
0,1,ess,-2.242384672164917
0,2,ess,-0.8263372182846069
0,3,ess,-0.8740706443786621
0,4,ess,-0.14796240627765656
0,5,ess,-0.004562060814350843
0,6,ess,-0.24095101654529572
0,7,ess,-0.0048956857062876225
0,8,ess,-0.13186796009540558
0,9,ess,-0.1992965191602707
0,10,ess,-0.13283386826515198
0,11,ess,-0.042119644582271576
0,12,ess,-0.0038871997967362404
0,13,ess,-0.37044578790664673
0,14,ess,-0.08857925981283188
0,15,ess,-0.0384037047624588
0,16,ess,-0.04786491394042969
0,17,ess,-0.6353867650032043
0,18,ess,-0.6439170837402344
0,19,ess,-0.3468903601169586
0,20,ess,-0.9890286922454834
0,21,ess,-0.06595294177532196
0,22,ess,-1.4104461669921875
0,23,ess,-0.1599096804857254
0,24,ess,-0.05015505850315094
0,25,ess,-0.0017365349922329187
0,26,ess,-0.06210390105843544
0,27,ess,-0.0020489380694925785
0,28,ess,-1.286065936088562
0,29,ess,-1.800214171409607
0,30,ess,-0.889092206954956
0,31,ess,-0.705657958984375
0,32,ess,-0.42386186122894287
0,33,ess,-0.6231133937835693
0,34,ess,-3.247788429260254
0,35,ess,-1.5625572204589844
0,36,ess,-0.47756797075271606
0,37,ess,-0.1997327208518982
0,38,ess,-1.1519389152526855
0,39,ess,-1.1814817190170288
0,40,ess,-0.039545368403196335
0,41,ess,-0.12536738812923431
0,42,ess,-0.27021801471710205
0,43,ess,-1.3460687398910522
0,44,ess,-0.4899102747440338
0,45,ess,-0.7431615591049194
0,46,ess,-0.478264182806015
0,47,ess,-0.18676505982875824
0,48,ess,-1.4232509136199951
0,49,ess,-1.1249700784683228
1,0,gradient_ascent,-10727.404296875
1,1,gradient_ascent,-7584.2607421875
1,2,gradient_ascent,-5003.791015625
1,3,gradient_ascent,-2987.379150390625
1,4,gradient_ascent,-1522.9525146484375
1,5,gradient_ascent,-579.52978515625
1,6,gradient_ascent,-101.76692199707031
1,7,gradient_ascent,-6.7788896560668945
1,8,gradient_ascent,-186.71286010742188
1,9,gradient_ascent,-519.7932739257812
1,10,gradient_ascent,-888.5701293945312
1,11,gradient_ascent,-1198.9476318359375
1,12,gradient_ascent,-1392.2061767578125
1,13,gradient_ascent,-1446.5965576171875
1,14,gradient_ascent,-1370.70556640625
1,15,gradient_ascent,-1193.2635498046875
1,16,gradient_ascent,-953.0735473632812
1,17,gradient_ascent,-690.8070678710938
1,18,gradient_ascent,-442.99383544921875
1,19,gradient_ascent,-237.98321533203125
1,20,gradient_ascent,-93.58723449707031
1,21,gradient_ascent,-16.243165969848633
1,22,gradient_ascent,-1.6409467458724976
1,23,gradient_ascent,-36.730228424072266
1,24,gradient_ascent,-102.85440063476562
1,25,gradient_ascent,-179.5124053955078
1,26,gradient_ascent,-248.04953002929688
1,27,gradient_ascent,-294.57989501953125
1,28,gradient_ascent,-311.6399841308594
1,29,gradient_ascent,-298.4380798339844
1,30,gradient_ascent,-259.8655700683594
1,31,gradient_ascent,-204.69044494628906
1,32,gradient_ascent,-143.38214111328125
1,33,gradient_ascent,-86.00215911865234
1,34,gradient_ascent,-40.488433837890625
1,35,gradient_ascent,-11.551011085510254
1,36,gradient_ascent,-0.2803248167037964
1,37,gradient_ascent,-4.451619625091553
1,38,gradient_ascent,-19.400653839111328
1,39,gradient_ascent,-39.248687744140625
1,40,gradient_ascent,-58.2053337097168
1,41,gradient_ascent,-71.679931640625
1,42,gradient_ascent,-77.00225830078125
1,43,gradient_ascent,-73.65335845947266
1,44,gradient_ascent,-63.030555725097656
1,45,gradient_ascent,-47.859031677246094
1,46,gradient_ascent,-31.422605514526367
1,47,gradient_ascent,-16.7952880859375
1,48,gradient_ascent,-6.22941780090332
1,49,gradient_ascent,-0.8040673136711121
1,0,ess,-6737.9521484375
1,1,ess,-6524.62451171875
1,2,ess,-6445.88525390625
1,3,ess,-4.596887588500977
1,4,ess,-1.0209674835205078
1,5,ess,-0.7621309161186218
1,6,ess,-1.8137824535369873
1,7,ess,-1.4183764457702637
1,8,ess,-1.7594300508499146
1,9,ess,-1.1019457578659058
1,10,ess,-0.375861257314682
1,11,ess,-0.0012092853430658579
1,12,ess,-0.2684323191642761
1,13,ess,-0.8628441691398621
1,14,ess,-0.4942399263381958
1,15,ess,-0.3531826138496399
1,16,ess,-0.9970267415046692
1,17,ess,-0.5753093957901001
1,18,ess,-0.5541995763778687
1,19,ess,-0.10166869312524796
1,20,ess,-0.0314229391515255
1,21,ess,-0.2883676588535309
1,22,ess,-0.07722879946231842
1,23,ess,-1.6488137245178223
1,24,ess,-0.4220161437988281
1,25,ess,-0.20390042662620544
1,26,ess,-0.21089082956314087
1,27,ess,-0.6781045794487
1,28,ess,-0.0209930632263422
1,29,ess,-0.014492359943687916
1,30,ess,-0.000897182384505868
1,31,ess,-0.23324643075466156
1,32,ess,-0.10835806280374527
1,33,ess,-0.00989772379398346
1,34,ess,-0.004332112614065409
1,35,ess,-1.387741208076477
1,36,ess,-0.566443681716919
1,37,ess,-1.163225531578064
1,38,ess,-0.8023989200592041
1,39,ess,-1.2881085872650146
1,40,ess,-0.25663524866104126
1,41,ess,-1.2530564069747925
1,42,ess,-0.13269487023353577
1,43,ess,-0.1790035218000412
1,44,ess,-0.3262753188610077
1,45,ess,-0.13952282071113586
1,46,ess,-0.812380313873291
1,47,ess,-0.279323935508728
1,48,ess,-0.43723782896995544
1,49,ess,-0.14766322076320648
2,0,gradient_ascent,-4193.412109375
2,1,gradient_ascent,-2330.093505859375
2,2,gradient_ascent,-1029.2679443359375
2,3,gradient_ascent,-274.3320617675781
2,4,gradient_ascent,-5.199298858642578
2,5,gradient_ascent,-100.40239715576172
2,6,gradient_ascent,-383.50921630859375
2,7,gradient_ascent,-672.9906005859375
2,8,gradient_ascent,-846.2321166992188
2,9,gradient_ascent,-863.80078125
2,10,gradient_ascent,-749.1735229492188
2,11,gradient_ascent,-556.0911254882812
2,12,gradient_ascent,-343.7375793457031
2,13,gradient_ascent,-162.00967407226562
2,14,gradient_ascent,-43.57060623168945
2,15,gradient_ascent,-0.3491227328777313
2,16,gradient_ascent,-23.993345260620117
2,17,gradient_ascent,-90.56832122802734
2,18,gradient_ascent,-168.95596313476562
2,19,gradient_ascent,-230.60986328125
2,20,gradient_ascent,-257.2657165527344
2,21,gradient_ascent,-244.19522094726562
2,22,gradient_ascent,-198.82931518554688
2,23,gradient_ascent,-136.32672119140625
2,24,gradient_ascent,-74.07930755615234
2,25,gradient_ascent,-26.73310089111328
2,26,gradient_ascent,-2.7183146476745605
2,27,gradient_ascent,-2.8449018001556396
2,28,gradient_ascent,-21.101768493652344
2,29,gradient_ascent,-47.29972457885742
2,30,gradient_ascent,-70.65715026855469
2,31,gradient_ascent,-83.1229019165039
2,32,gradient_ascent,-81.39302825927734
2,33,gradient_ascent,-67.15251922607422
2,34,gradient_ascent,-45.750972747802734
2,35,gradient_ascent,-23.977764129638672
2,36,gradient_ascent,-7.746644496917725
2,37,gradient_ascent,-0.3858332633972168
2,38,gradient_ascent,-1.9628891944885254
2,39,gradient_ascent,-9.727871894836426
2,40,gradient_ascent,-19.41114044189453
2,41,gradient_ascent,-26.851375579833984
2,42,gradient_ascent,-29.364471435546875
2,43,gradient_ascent,-26.4173583984375
2,44,gradient_ascent,-19.46953773498535
2,45,gradient_ascent,-11.160188674926758
2,46,gradient_ascent,-4.212387561798096
2,47,gradient_ascent,-0.47103163599967957
2,48,gradient_ascent,-0.38616034388542175
